original_name,predicted_label,confidence,final_class,new_name,top3
shimla mirch.png,bell pepper,0.5818,unclassified,unclassified_shimla mirch.png,bell pepper:0.58; capsicum:0.38; spinach:0.02
shopping_basket.png,kiwi,0.6103,kiwi,kiwi_shopping_basket.png,kiwi:0.61; pear:0.30; peas:0.03
shopping_basket_2.png,eggplant,0.9237,eggplant,eggplant_shopping_basket_2.png,eggplant:0.92; sweetpotato:0.04; cucumber:0.01
spaghetti_squash.jpg,pear,0.9666,pear,pear_spaghetti_squash.jpg,pear:0.97; kiwi:0.01; mango:0.01
spaghetti_squash.png,sweetpotato,0.9461,sweetpotato,sweetpotato_spaghetti_squash.png,sweetpotato:0.95; mango:0.03; orange:0.01
strawberry.jpg,mango,0.9997,mango,mango_strawberry.jpg,mango:1.00; apple:0.00; sweetpotato:0.00
strawberry_2.jpg,apple,0.8612,apple,apple_strawberry_2.jpg,apple:0.86; raddish:0.10; beetroot:0.01
strawberry_3.jpg,raddish,0.4293,unclassified,unclassified_strawberry_3.jpg,raddish:0.43; paprika:0.35; apple:0.09
strawberry_4.jpg,raddish,0.4268,unclassified,unclassified_strawberry_4.jpg,raddish:0.43; beetroot:0.27; turnip:0.21
strawberry_5.jpg,tomato,0.9999,tomato,tomato_strawberry_5.jpg,tomato:1.00; jalepeno:0.00; chilli pepper:0.00
swab.png,cucumber,0.9991,cucumber,cucumber_swab.png,cucumber:1.00; corn:0.00; raddish:0.00
tommato.jpg,jalepeno,0.4229,unclassified,unclassified_tommato.jpg,jalepeno:0.42; tomato:0.30; chilli pepper:0.14
vase.jpg,pineapple,0.8294,pineapple,pineapple_vase.jpg,pineapple:0.83; corn:0.12; carrot:0.03
velvet.png,beetroot,0.9998,beetroot,beetroot_velvet.png,beetroot:1.00; sweetpotato:0.00; onion:0.00
zucchini.jpg,cucumber,1.0,cucumber,cucumber_zucchini.jpg,cucumber:1.00; jalepeno:0.00; corn:0.00
zucchini_2.jpg,sweetpotato,0.3681,unclassified,unclassified_zucchini_2.jpg,sweetpotato:0.37; sweetcorn:0.25; cucumber:0.09
